,epochs,k_max,k_min,nModels,seed,train,valid,valid_avg
111,84,4,2,3,9200,0.16839282998413715,0.5137479784844258,0.4478701162281504
112,86,4,2,3,9200,0.16825886153672884,0.518702836497678,0.4493628122165708
113,88,4,2,3,9200,0.16251558133414276,0.5192243284906513,0.45008341995912193
114,90,4,2,3,9200,0.1603653468086437,0.5197068121816864,0.4527870699427013
115,92,4,2,3,9200,0.15836619528498064,0.5181272686667491,0.45121905312631555
116,94,4,2,3,9200,0.1577232948699313,0.522231055795209,0.45119266901813165
117,96,4,2,3,9200,0.15305870069665956,0.523417056604872,0.4502699145620831
118,98,4,2,3,9200,0.15270659092183358,0.5194032734570113,0.44957826128020734
119,100,4,2,3,9200,0.14889394913534737,0.5227110589484394,0.45133483225489246
120,22,4,2,4,9201,0.278998374889695,0.4741876514837206,0.43995182366974006
121,24,4,2,4,9201,0.27436987614441344,0.47450413676323344,0.43926186658452626
122,26,4,2,4,9201,0.2686766132792284,0.4739436140825896,0.43877540030717704
123,28,4,2,4,9201,0.26232669195549185,0.4748827801910801,0.4372887056709317
124,30,4,2,4,9201,0.2588211456757946,0.47447648383981955,0.4374146044968361
125,32,4,2,4,9201,0.2540877035729972,0.47527252960810756,0.4371043003373979
126,34,4,2,4,9201,0.24764911988059887,0.4731933639245059,0.4364430885227433
127,36,4,2,4,9201,0.2445897040060619,0.47683816991426003,0.4372291201805011
128,38,4,2,4,9201,0.23919354233714812,0.47770975849291464,0.4372544139850546
129,40,4,2,4,9201,0.2344038458990169,0.4818026190140208,0.4371870570513196
130,42,4,2,4,9201,0.23299027272197162,0.4812666059120131,0.43734459661845654
131,44,4,2,4,9201,0.2265856901351113,0.48146624342765887,0.4373597384046732
132,46,4,2,4,9201,0.22300254608578696,0.47897424005007916,0.4365513501135665
133,48,4,2,4,9201,0.21844950223602647,0.4807368714582287,0.437525182100013
134,50,4,2,4,9201,0.2154242018039893,0.48336551159358077,0.43663076239582843
135,52,4,2,4,9201,0.20886012801654633,0.4844236384858435,0.43777803251864084
136,54,4,2,4,9201,0.2092836544194304,0.4861199464283009,0.43728578406178537
137,56,4,2,4,9201,0.20312258476070022,0.4884437145853835,0.43829429569185613
138,58,4,2,4,9201,0.2009225704077994,0.4899017670716127,0.43912033470148454
139,60,4,2,4,9201,0.19510447831710137,0.488723499017071,0.4388840680756058
140,62,4,2,4,9201,0.19606390238874155,0.495679583294436,0.4382607530281373
141,64,4,2,4,9201,0.19105281109713715,0.4902115071314225,0.4395107313513505
142,66,4,2,4,9201,0.18597952698320527,0.49050395442267974,0.43805223355773476
143,68,4,2,4,9201,0.18412433136325707,0.49368580945120893,0.43995896479406443
144,70,4,2,4,9201,0.18057452517053796,0.4969110425874355,0.44063773166061315
145,72,4,2,4,9201,0.1797157762504207,0.49475613768705307,0.44078069078273374
146,74,4,2,4,9201,0.1766888325649561,0.4991758356310069,0.4391070227392944
147,76,4,2,4,9201,0.17267369009149947,0.5007863949478486,0.4404472873677903
148,78,4,2,4,9201,0.16776572960902753,0.49915063480969063,0.4402289582619513
149,80,4,2,4,9201,0.16550986188967026,0.5017321588941199,0.4404274920620831
150,82,4,2,4,9201,0.1625295463268214,0.5061952921965104,0.44056561065815725
151,84,4,2,4,9201,0.16080018172167745,0.5050502075547865,0.4412644724426389
152,86,4,2,4,9201,0.1581816375300766,0.5035393537844916,0.44193284419754675
153,88,4,2,4,9201,0.15680199798927152,0.5016702396510816,0.44144037080530896
154,90,4,2,4,9201,0.15538786456152107,0.5026720379710397,0.4442724681297937
155,92,4,2,4,9201,0.14864919146109618,0.5079455801751293,0.44392907349606986
156,94,4,2,4,9201,0.14809378230817685,0.5072714247808897,0.4432135160212211
157,96,4,2,4,9201,0.14573524532254484,0.5067523214934638,0.44201829995617153
158,98,4,2,4,9201,0.1439361564539563,0.5083975876028706,0.4422357514275828
159,100,4,2,4,9201,0.14231455331129553,0.5113326692614384,0.4429559181574344
160,22,4,2,5,9202,0.2929059054046824,0.47970821783926165,0.4376732845829573
161,24,4,2,5,9202,0.28681755856589813,0.479539661234197,0.43665489181117195
162,26,4,2,5,9202,0.28297958525261785,0.4812152316339692,0.4362647792881245
163,28,4,2,5,9202,0.2755003175573457,0.48186566199795167,0.4349947265228541
164,30,4,2,5,9202,0.2693415448440863,0.4844188519066534,0.4348232959317041
165,32,4,2,5,9202,0.2657845138918494,0.4829770031437523,0.4341572873667508
166,34,4,2,5,9202,0.26069193636893917,0.48349530441087996,0.43357619889026866
167,36,4,2,5,9202,0.255204011472249,0.48344117246465396,0.43340129096514907
168,38,4,2,5,9202,0.2509368221953665,0.4868962188637672,0.4338899182299954
169,40,4,2,5,9202,0.24633716307297468,0.4843633670006189,0.4332004702762714
170,42,4,2,5,9202,0.24376875861974298,0.4847037209995082,0.4334639133745282
171,44,4,2,5,9202,0.23694077529366397,0.48907915371811017,0.43360149412866816
172,46,4,2,5,9202,0.23231054620572852,0.4883042446963981,0.4322833381603072
173,48,4,2,5,9202,0.2300767006673295,0.49101985739491977,0.4332575465808913
174,50,4,2,5,9202,0.2256564582561716,0.4903199548941173,0.4328061984841481
175,52,4,2,5,9202,0.22165308182349594,0.48949238122167915,0.4331927992352515
176,54,4,2,5,9202,0.2176973111668696,0.49024691432341033,0.4331169215347283
177,56,4,2,5,9202,0.21480055198392853,0.49451117655368637,0.4336514931014359
178,58,4,2,5,9202,0.2103895640241518,0.4954900555108564,0.43393441609903094
179,60,4,2,5,9202,0.20707523500961372,0.4986564079917707,0.4339031874022171
180,62,4,2,5,9202,0.20455085831962921,0.4980544098159271,0.4333212273336744
181,64,4,2,5,9202,0.2012231173978096,0.4957186061488564,0.43407170936176287
182,66,4,2,5,9202,0.1978293135838477,0.49921326937682986,0.4332102496361898
183,68,4,2,5,9202,0.1942976793624533,0.49933562860583525,0.4346831745900906
184,70,4,2,5,9202,0.19108878989395747,0.5001251223973647,0.43525509455112954
185,72,4,2,5,9202,0.18828512278654616,0.5028541275336633,0.43510987753032176
