,mb,mf,nModels,ntree,seed,tc,valid,valid_avg
352,5,40,13,160,112245,15,0.46341159121571623,0.4549101486278519
353,5,40,13,180,112245,15,0.46045910368287685,0.4517926132983617
354,5,40,13,200,112245,15,0.45844464179345756,0.44971628190785556
355,5,40,13,220,112245,15,0.4576860258645227,0.4483694403305014
356,5,40,13,240,112245,15,0.4567300435759193,0.4476129116568023
357,5,40,13,260,112245,15,0.45682632844449006,0.44740698242960536
358,5,40,13,280,112245,15,0.4571558129969694,0.44747536580479275
359,5,40,13,300,112245,15,0.4575067174977163,0.4477591506922233
360,5,40,13,320,112245,15,0.45816942223183216,0.4485823428600502
361,5,40,13,340,112245,15,0.4593212461121846,0.4494662044583831
362,5,40,13,360,112245,15,0.46075977869475804,0.45041842284370703
363,5,40,14,160,112246,15,0.46120488629260914,0.4547588070688626
364,5,40,14,180,112246,15,0.4577710887006367,0.4516010025892389
365,5,40,14,200,112246,15,0.45619014409078373,0.4495335426685796
366,5,40,14,220,112246,15,0.45540504971838314,0.448197868297868
367,5,40,14,240,112246,15,0.45498374460495233,0.4474402743329238
368,5,40,14,260,112246,15,0.4545342922293118,0.4472012072114829
369,5,40,14,280,112246,15,0.45484902176805014,0.4472677762547132
370,5,40,14,300,112246,15,0.4550906600682089,0.44753039917008536
371,5,40,14,320,112246,15,0.45546389312550345,0.4483001853058828
372,5,40,14,340,112246,15,0.45688523440049267,0.4491907759191429
373,5,40,14,360,112246,15,0.45761314866203756,0.4501067093566533
374,5,40,15,160,112247,15,0.4630736138862651,0.45473179011955855
375,5,40,15,180,112247,15,0.460391106588897,0.45158621880863775
376,5,40,15,200,112247,15,0.45873821799356185,0.4495193144189911
377,5,40,15,220,112247,15,0.45785247367225174,0.44819113972625224
378,5,40,15,240,112247,15,0.45738999515390133,0.4474288616212092
379,5,40,15,260,112247,15,0.4575484417158057,0.44719574296495596
380,5,40,15,280,112247,15,0.4579515784117208,0.4472666156632296
381,5,40,15,300,112247,15,0.4584819989850848,0.4475281837155534
382,5,40,15,320,112247,15,0.4592979850179958,0.4482872191089461
383,5,40,15,340,112247,15,0.46002854869153514,0.44915832823008595
384,5,40,15,360,112247,15,0.46115253120482547,0.4500733592903623
385,5,40,16,160,112248,15,0.4618632656429725,0.45466032340081447
386,5,40,16,180,112248,15,0.4595042255559422,0.4515469447726837
387,5,40,16,200,112248,15,0.45762684444987267,0.44947403264974906
388,5,40,16,220,112248,15,0.4567090355347294,0.44816346020155495
389,5,40,16,240,112248,15,0.4563798142487362,0.447399859260164
390,5,40,16,260,112248,15,0.45693317954013063,0.44720662711525744
391,5,40,16,280,112248,15,0.45663632485740946,0.4472364718520334
392,5,40,16,300,112248,15,0.45780693780821863,0.4475308406630473
393,5,40,16,320,112248,15,0.4583233008576431,0.4482566883055054
394,5,40,16,340,112248,15,0.459530518736637,0.4491213142570555
395,5,40,16,360,112248,15,0.460452517260149,0.4500207219544417
396,5,40,17,160,112249,15,0.46310303423800464,0.4546432291646881
397,5,40,17,180,112249,15,0.46053918059261645,0.4515292005710777
398,5,40,17,200,112249,15,0.45950650935500303,0.44949422290604146
399,5,40,17,220,112249,15,0.45883164226926243,0.4482012287774378
400,5,40,17,240,112249,15,0.4583808576998478,0.447434920802332
401,5,40,17,260,112249,15,0.45796682010819334,0.4472175270525391
402,5,40,17,280,112249,15,0.4582121492994702,0.447246376922007
403,5,40,17,300,112249,15,0.4585384179225954,0.44753481941154033
404,5,40,17,320,112249,15,0.45927590875428054,0.4482476174820378
405,5,40,17,340,112249,15,0.4600010534708435,0.44909348346080413
406,5,40,17,360,112249,15,0.46083663747572984,0.44997148807469656
407,5,40,18,160,112250,15,0.46214777991255157,0.454608658057598
408,5,40,18,180,112250,15,0.4593975346191275,0.45149517206973516
409,5,40,18,200,112250,15,0.4579624220315647,0.44947547638327373
410,5,40,18,220,112250,15,0.4576681148002239,0.44821559807229466
411,5,40,18,240,112250,15,0.4577395751424213,0.4474786419374004
412,5,40,18,260,112250,15,0.4574729028113307,0.44724085110686124
413,5,40,18,280,112250,15,0.45816472756654036,0.4472965229290386
414,5,40,18,300,112250,15,0.45888659655749797,0.44759735419535873
415,5,40,18,320,112250,15,0.45934730404488333,0.4482924886808306
416,5,40,18,340,112250,15,0.45995300058746497,0.44910867141729705
417,5,40,18,360,112250,15,0.4609938356916912,0.4499879340806977
