,epochs,nModels,seed,train,valid,valid_avg
171,124,3,3821,0.15477275446592315,0.4966670029644172,0.4436486957827405
172,126,3,3821,0.15364811564412625,0.4966706085059559,0.4439407800788247
173,128,3,3821,0.15094606687157625,0.4985311957439217,0.4458762167207877
174,130,3,3821,0.14923893107919195,0.5005652334734696,0.4469715516383057
175,132,3,3821,0.14620874334412798,0.5020558784827456,0.4489751667651989
176,134,3,3821,0.14528145634567696,0.5057672044667589,0.44951686309473
177,136,3,3821,0.14271071671950947,0.5037743425234265,0.4479213743657594
178,138,3,3821,0.14477257287351794,0.5099708648232109,0.4516447210206739
179,140,3,3821,0.13742775130928706,0.5045517848070752,0.4483735023936027
180,22,4,3822,0.31931034722765383,0.4685138042267987,0.4440363373248838
181,24,4,3822,0.3137443286378289,0.4676679256165753,0.4420617815726416
182,26,4,3822,0.3074366415990559,0.4675957924710319,0.4412182968434608
183,28,4,3822,0.30203370342348945,0.4677574758366694,0.440893911497762
184,30,4,3822,0.29663374119500563,0.4661787658970002,0.4395440776610967
185,32,4,3822,0.2913319742216348,0.4672466545186733,0.43889795556081707
186,34,4,3822,0.2872493601492647,0.4677839150169538,0.4387293040222272
187,36,4,3822,0.2818497879413239,0.4665258751133056,0.4381955102179478
188,38,4,3822,0.2786810492590613,0.4714595036979659,0.437245986786014
189,40,4,3822,0.27351682090052803,0.4698062777425342,0.43828274186749305
190,42,4,3822,0.2683422313824186,0.467437574355129,0.4371419314244129
191,44,4,3822,0.26630692238911874,0.4713491099684817,0.43651168652397737
192,46,4,3822,0.2624870628741669,0.4700642474384342,0.43521087794345903
193,48,4,3822,0.25815412493382983,0.4693333443415265,0.43551154201814063
194,50,4,3822,0.2514070021497475,0.4688920259997831,0.4343149281816972
195,52,4,3822,0.2483402702945677,0.4725332079529995,0.43530997740831295
196,54,4,3822,0.2463283151245633,0.4734549691143458,0.43503626680185503
197,56,4,3822,0.2412545082361119,0.4749098287603016,0.4365417560309203
198,58,4,3822,0.23836415534673516,0.4766308698707253,0.4346474918284655
199,60,4,3822,0.23609661075337526,0.4747494199075802,0.4339767751096552
200,62,4,3822,0.2311910309806923,0.4760367119899277,0.4343223930967283
201,64,4,3822,0.22689290405778226,0.4771940040382191,0.4335955142322688
202,66,4,3822,0.22523867665810404,0.4787433240689091,0.43471314105097975
203,68,4,3822,0.2220430512652572,0.4805176238999323,0.4349421499391279
204,70,4,3822,0.21597084268400427,0.478468643229588,0.4338653853462504
205,72,4,3822,0.21339033536851248,0.4753571835217247,0.4335883489863892
206,74,4,3822,0.21187174605947895,0.4801680531787401,0.43419451877346377
207,76,4,3822,0.2081875633489698,0.4794179782002079,0.43214589615241145
208,78,4,3822,0.2055473144774064,0.4858604789944767,0.4326347210838899
209,80,4,3822,0.20031707891010253,0.478883637503656,0.4322945770444641
210,82,4,3822,0.1993115391032909,0.4856547855787439,0.4333317464285315
211,84,4,3822,0.19832511831689814,0.4869635389284445,0.4331841716387499
212,86,4,3822,0.19252030299122502,0.4829746495312549,0.43365698142318254
213,88,4,3822,0.1907984773058989,0.4861525604597443,0.43161863718284005
214,90,4,3822,0.1875743944390763,0.486948896256971,0.43300147604838185
215,92,4,3822,0.18573690968001969,0.4862776172820911,0.4340363822361963
216,94,4,3822,0.1820736565483492,0.4899576952363248,0.4337182867026051
217,96,4,3822,0.17845595321404134,0.4896341715205654,0.43548451126122895
218,98,4,3822,0.17616549738495882,0.4915549046377982,0.4353284127289027
219,100,4,3822,0.17380153680310778,0.4917052472060498,0.4345471632916929
220,102,4,3822,0.17379726891256855,0.49156733217095294,0.436282358469866
221,104,4,3822,0.17128461625228153,0.4995404773728376,0.4360511628525713
222,106,4,3822,0.16762797821002332,0.4902583093430474,0.4355117549745636
223,108,4,3822,0.16304731819285564,0.492315043082846,0.4350687634378888
224,110,4,3822,0.16354473672710412,0.4982926886428031,0.4359147946957237
225,112,4,3822,0.16259885674239918,0.5005455817793345,0.4362918894015799
226,114,4,3822,0.15715568652622752,0.5023667325597942,0.4363061172238864
227,116,4,3822,0.1546627085754771,0.5034514917527487,0.4388958595114378
228,118,4,3822,0.15460057776085026,0.5006619960612163,0.4361272212343974
229,120,4,3822,0.15282157242977412,0.5047317574946271,0.4353499070964965
230,122,4,3822,0.1505717041532494,0.5044928377574985,0.43979405422227
231,124,4,3822,0.1478845163403553,0.5052807304673349,0.43588551245563617
232,126,4,3822,0.14462192839539334,0.5096465286175924,0.436420900200496
233,128,4,3822,0.1441696696318883,0.5050650248467693,0.4372002940728077
234,130,4,3822,0.13913286933567007,0.5056922437907435,0.4378717503316994
235,132,4,3822,0.1411734358109937,0.5119567474987718,0.4407835284945959
236,134,4,3822,0.13897865296038567,0.5111777628784171,0.4400420248368291
237,136,4,3822,0.13569526045619293,0.5062700899366108,0.4388044774255626
238,138,4,3822,0.1360751601033912,0.5065489459835354,0.4413997540698014
239,140,4,3822,0.131062740218353,0.5115227441763611,0.43976022476356413
240,22,5,3823,0.31504602101060875,0.4686337226383476,0.4424013643226463
241,24,5,3823,0.3074224013245077,0.4666768936320894,0.4401199014689427
242,26,5,3823,0.3034463814519757,0.4673695198091224,0.4396069442726525
243,28,5,3823,0.3001754639973452,0.4710660115243772,0.4395281889869221
244,30,5,3823,0.2936666966406498,0.4695252010820261,0.43796433403101703
245,32,5,3823,0.28837719724763816,0.4699204502761488,0.43744879339020176
246,34,5,3823,0.2847444317100228,0.4711381368660381,0.4372134058341669
247,36,5,3823,0.2771174103194464,0.4711446458604607,0.4365545142232229
248,38,5,3823,0.2742340325629322,0.4706440441746363,0.43540037038966906
249,40,5,3823,0.271348590866957,0.4750095315226901,0.4366597874990104
250,42,5,3823,0.26445542662121696,0.47016234054567096,0.4352097570772492
251,44,5,3823,0.259049227948611,0.4701211334518462,0.4345462221308045
252,46,5,3823,0.2572947023253556,0.4753994747707837,0.43365439583673904
253,48,5,3823,0.2515895920169053,0.4769167073179863,0.4337580625930094
254,50,5,3823,0.2465637760253752,0.4728800812991325,0.4323969578362668
255,52,5,3823,0.2445310578487433,0.4755649607667918,0.4334635976738101
256,54,5,3823,0.24132747890764045,0.4755625150041093,0.43293995733681817
257,56,5,3823,0.23641973081017284,0.4756646373679994,0.4341757810134107
258,58,5,3823,0.2355272292880431,0.4834838892046001,0.43316804513941104
259,60,5,3823,0.231290176108216,0.481629368465098,0.4321382124371816
260,62,5,3823,0.2247737814824784,0.481410587099251,0.4321862773099369
261,64,5,3823,0.22485222521210566,0.4854728626484476,0.4321212716471109
262,66,5,3823,0.22054094649119585,0.4847011119980024,0.4328665681639425
263,68,5,3823,0.2169861265956234,0.4857871244505293,0.43302015906508107
